club_name,avg_overall,avg_composite,count_players
Real Madrid,82.78260869565217,77.20782608695652,23
Manchester City,82.63636363636364,76.82454545454546,22
Paris Saint Germain,81.95652173913044,76.38956521739131,23
FC Bayern München,81.78260869565217,76.21565217391304,23
Atlético Madrid,81.8,76.199,20
Chelsea,80.67857142857143,74.97214285714286,28
FC Barcelona,79.84615384615384,74.55692307692308,26
Tottenham Hotspur,79.5,74.0625,24
RB Leipzig,79.1304347826087,73.96,23
Inter,79.18518518518519,73.84518518518519,27
Sevilla,79.20833333333333,73.65083333333332,24
Milan,78.26666666666667,73.46066666666667,30
Juventus,78.24137931034483,73.39793103448275,29
Borussia Dortmund,77.88461538461539,73.27384615384615,26
Bayer 04 Leverkusen,77.79166666666667,73.22916666666667,24
Villarreal,78.08333333333333,73.20833333333333,24
Napoli,78.25,73.0125,24
Arsenal,78.8695652173913,72.9895652173913,23
Lazio,77.27272727272727,72.94181818181818,22
Manchester United,78.03448275862068,72.76689655172414,29
Liverpool,77.89189189189189,72.67027027027028,37
Athletic Club,76.95833333333333,72.56333333333333,24
Aston Villa,77.38461538461539,72.55,26
Roma,77.03703703703704,72.04592592592593,27
Leicester City,77.34615384615384,71.80307692307693,26
Fiorentina,76.12,71.7064,25
West Ham United,77.56,71.6704,25
Olympique Marseille,76.31818181818181,71.64090909090909,22
Benfica,76.07142857142857,71.61642857142857,28
Ajax,75.79166666666667,71.58666666666666,24
Borussia Mönchengladbach,76.61904761904762,71.44761904761904,21
Monaco,75.5,71.3875,24
Eintracht Frankfurt,75.66666666666667,71.28666666666668,24
VfL Wolfsburg,75.16666666666667,71.18666666666667,24
Wolverhampton Wanderers,75.24,71.09280000000001,25
Fenerbahçe,74.6,70.94,25
Real Betis,76.39285714285714,70.93285714285715,28
Newcastle United,75.9,70.848,30
Nice,74.96,70.76,25
Palmeiras,75.5,70.61,20
Feyenoord,74.0,70.547,20
Porto,75.66666666666667,70.51333333333334,27
Rennes,75.20833333333333,70.50083333333333,24
Olympique Lyonnais,75.4,70.4824,25
Atalanta,76.3913043478261,70.37304347826088,23
Fulham,75.25,70.3175,24
Trabzonspor,74.2,70.3168,25
Club Brugge,74.38095238095238,70.28666666666666,21
Sporting Braga,74.61904761904762,70.13333333333333,21
Leeds United,74.42307692307692,70.1123076923077,26
FSV Mainz 05,74.35,70.096,20
PSV,74.0,70.00538461538461,26
Real Valladolid,73.79166666666667,70.00416666666666,24
Sporting CP,74.20689655172414,69.99241379310345,29
Espanyol,73.76923076923077,69.84384615384616,26
Galatasaray,74.17391304347827,69.82000000000001,23
Getafe,75.72727272727273,69.78454545454545,22
Crystal Palace,75.45454545454545,69.73545454545454,22
Brighton & Hove Albion,74.4090909090909,69.71818181818182,22
Torino,73.75,69.709,20
TSG Hoffenheim,74.91666666666667,69.70416666666667,24
Slavia Praha,72.92592592592592,69.68814814814814,27
Real Sociedad,74.96551724137932,69.65034482758621,29
Southampton,74.08695652173913,69.64434782608696,23
Lille,73.95454545454545,69.64272727272727,22
Flamengo,75.45,69.519,20
Boca Juniors,73.29629629629629,69.4451851851852,27
Valencia,73.85185185185185,69.40962962962963,27
Udinese,74.05,69.376,20
Rangers,72.78260869565217,69.30521739130435,23
Rayo Vallecano,74.33333333333333,69.28666666666666,27
AZ,73.15,69.16900000000001,20
Racing Club,72.15384615384616,69.16076923076923,26
AEK Athens,72.76,69.16,25
AFC Bournemouth,73.28,69.1376,25
Atlético Mineiro,74.85,69.132,20
Bologna,73.83333333333333,69.10333333333334,24
Beşiktaş,73.0952380952381,69.00952380952381,21
Celtic,72.25925925925925,68.98592592592593,27
Celta de Vigo,74.36,68.9576,25
Nantes,73.3,68.932,20
Everton,73.89189189189189,68.91351351351352,37
SC Freiburg,74.20833333333333,68.88333333333334,24
Montpellier,73.66666666666667,68.6895238095238,21
Lens,73.34782608695652,68.64173913043479,23
Brentford,73.5,68.64,26
Burnley,72.17391304347827,68.55304347826088,23
Mallorca,73.64,68.5496,25
Strasbourg,73.95238095238095,68.5352380952381,21
Osasuna,74.125,68.52,24
Empoli,72.52173913043478,68.46782608695652,23
Hertha BSC,73.3913043478261,68.45826086956522,23
Genk,72.15789473684211,68.45052631578947,19
VfB Stuttgart,72.80952380952381,68.41809523809523,21
Girona,73.03846153846153,68.39307692307692,26
FC Union Berlin,73.38461538461539,68.37461538461538,26
Salzburg,71.04545454545455,68.37,22
Al Hilal,72.28571428571429,68.34571428571428,21
Sparta Praha,71.70370370370371,68.31703703703704,27
Seattle Sounders,72.3076923076923,68.30615384615385,13
River Plate,72.27027027027027,68.29405405405406,37
Bragantino,73.3,68.293,20
Internacional,73.15,68.272,20
Dinamo Zagreb,71.72727272727273,68.22272727272728,22
Viktoria Plzeň,72.24,68.1936,25
Levante,71.41666666666667,68.19166666666666,24
İstanbul Başakşehir,71.72727272727273,68.18454545454546,22
São Paulo,72.2,68.17699999999999,20
Guangzhou R&F,70.33333333333333,68.13333333333334,3
Nottingham Forest,73.25806451612904,68.0883870967742,31
Corinthians,72.5,68.078,20
Sassuolo,73.15384615384616,68.02384615384615,26
Anderlecht,71.28571428571429,68.01714285714286,21
Elche,72.92,68.012,25
Hellas Verona,71.78571428571429,68.01,28
FC Augsburg,72.85185185185185,68.00074074074074,27
Toronto,72.18181818181819,67.99818181818182,11
Los Angeles FC,73.11764705882354,67.98588235294118,17
Werder Bremen,72.6,67.929,20
København,70.76190476190476,67.86761904761904,21
Panathinaikos,71.72,67.8032,25
Antwerp,71.68181818181819,67.77363636363636,22
Monza,72.93333333333334,67.75733333333334,30
Almería,73.0,67.70384615384616,26
Cádiz,72.53846153846153,67.6923076923077,26
Athletico PR,72.85,67.69,20
Salernitana,72.92,67.652,25
PAOK,70.6923076923077,67.57461538461538,26
Shanghai SIPG,70.1,67.544,10
Dallas,70.25,67.525,12
FC Köln,72.56,67.4984,25
Toulouse,71.0,67.47428571428571,21
Brest,72.04761904761905,67.47333333333333,21
Colo-Colo,71.63636363636364,67.45818181818181,11
Schalke 04,71.37037037037037,67.43481481481481,27
Atlanta United,71.13333333333334,67.34533333333334,15
Vélez Sarsfield,71.45833333333333,67.33083333333333,24
Independiente del Valle,70.81818181818181,67.31636363636363,11
Gent,71.95454545454545,67.30454545454546,22
Adana Demirspor,70.52380952380952,67.30380952380953,21
Dynamo Kyiv,72.13636363636364,67.26,22
Midtjylland,70.42105263157895,67.25684210526316,19
Las Palmas,70.79166666666667,67.23416666666667,24
Alanyaspor,70.82352941176471,67.23058823529412,17
Austin,70.06666666666666,67.21066666666667,15
Al Nassr,72.42105263157895,67.20105263157895,19
Columbus Crew,70.14285714285714,67.19,14
Sampdoria,72.125,67.175,24
Al Fateh,70.72727272727273,67.16,11
Fluminense,71.89473684210526,67.15157894736842,19
VfL Bochum 1848,71.57692307692308,67.13692307692307,26
SJ Earthquakes,70.4,67.124,10
Ceará,72.05882352941177,67.11058823529412,17
Inter Miami,70.0,67.11,12
Fatih Karagümrük,70.41666666666667,67.06166666666667,12
Shakhtar Donetsk,70.65,67.047,20
SD Eibar,70.91304347826087,67.04434782608696,23
FC Twente,70.73684210526316,67.03578947368422,19
Al Wahda,71.55555555555556,67.01555555555555,9
Al Ittihad,72.0,67.00285714285714,14
Argentinos Juniors,70.05263157894737,66.98315789473685,19
Norrköping,69.11111111111111,66.95111111111112,9
Norwich City,71.08333333333333,66.95083333333334,24
Shanghai Shenhua,68.42857142857143,66.94571428571429,7
Al Feiha,71.375,66.92,8
Young Boys,70.55,66.905,20
Reims,71.16666666666667,66.89666666666666,24
Antalyaspor,70.34782608695652,66.88347826086957,23
Al Shabab,70.82352941176471,66.84588235294119,17
Hamburger SV,70.8125,66.80375000000001,16
Portland Timbers,70.05555555555556,66.78555555555556,18
Sheffield United,71.43478260869566,66.76782608695653,23
Ankaragücü,70.42105263157895,66.71684210526315,19
Granada,71.375,66.7025,24
St. Gallen,69.44444444444444,66.6711111111111,9
Genoa,71.0,66.665,28
Al Ittifaq,70.0,66.66181818181818,11
Melbourne City,69.0,66.65454545454546,11
Middlesbrough,70.78260869565217,66.6295652173913,23
Nashville SC,70.26666666666667,66.60266666666666,15
Konyaspor,69.41176470588235,66.59882352941177,17
Hangzhou,70.6,66.56800000000001,5
Sion,68.70588235294117,66.56,17
Troyes,70.95652173913044,66.55565217391305,23
Santos,72.15789473684211,66.55263157894737,19
Vancouver Whitecaps,69.58333333333333,66.49333333333333,12
Philadelphia Union,71.14285714285714,66.46714285714286,14
FC Utrecht,70.28,66.4544,25
Spezia,71.4090909090909,66.44,22
Venezia,70.57142857142857,66.42,21
Talleres Córdoba,70.25,66.41,20
Bodø / Glimt,69.22222222222223,66.33555555555556,18
New York RB,69.71428571428571,66.32428571428572,14
Watford,71.03448275862068,66.31103448275861,29
Nacional,70.23076923076923,66.30307692307693,13
Union Saint-Gilloise,70.35,66.28200000000001,20
LA Galaxy,69.71428571428571,66.27714285714286,14
Olimpia,70.61538461538461,66.27692307692308,13
Lanús,70.47619047619048,66.27619047619048,21
Hull City,69.43478260869566,66.23391304347827,23
Ascoli,69.41176470588235,66.22470588235294,17
Tigre,70.0,66.22375,16
Al Adalh,69.5,66.2225,8
Changchun Yatai,69.57142857142857,66.22,7
Adelaide United,69.16666666666667,66.21666666666667,6
Angers SCO,70.56521739130434,66.20086956521739,23
Ferencváros,70.3913043478261,66.1991304347826,23
Bordeaux,69.46666666666667,66.19866666666667,15
Oriente Petrolero,67.5,66.195,4
Wuhan Three Towns,69.91666666666667,66.19166666666666,12
Newell's Old Boys,69.88235294117646,66.18705882352941,17
Colón,70.27272727272727,66.17363636363636,22
Cuiabá,69.73684210526316,66.16842105263159,19
Shandong Luneng,69.5625,66.165,16
Sturm Graz,69.38888888888889,66.1588888888889,18
Servette,69.64285714285714,66.14571428571428,14
Shenzhen,67.77777777777777,66.14444444444445,9
Fortuna Düsseldorf,70.3,66.127,20
Brescia,68.5,66.12625,16
Al Tai,68.77777777777777,66.11777777777779,9
West Bromwich Albion,70.29166666666667,66.10416666666667,24
Hajduk Split,69.68181818181819,66.1009090909091,22
Cremonese,71.32,66.08800000000001,25
Unión Santa Fe,69.23529411764706,66.08705882352942,17
Hannover 96,69.63157894736842,66.06631578947368,19
Parma,69.94736842105263,66.05368421052631,19
Hearts,69.71428571428571,66.03999999999999,21
Chicago Fire,69.4,66.02799999999999,10
Millwall,69.75,66.021,20
Lecce,70.69565217391305,66.00260869565217,23
Swansea City,69.6,65.996,15
Hatayspor,68.63157894736842,65.98842105263158,19
Jeonbuk Motors,69.1,65.986,20
Atlético GO,71.25,65.982,20
Bristol Rovers,67.0,65.98,3
Hebei CFFC,67.0,65.98,1
Auxerre,70.47826086956522,65.97826086956522,23
Guangzhou Evergrande,67.4,65.94800000000001,5
Huesca,68.8,65.929,20
New England,69.36842105263158,65.92315789473685,19
Gaziantep F.K.,69.23529411764706,65.91764705882352,17
Sporting KC,69.4,65.908,15
Jeju United,68.5,65.89,12
Coventry City,69.66666666666667,65.88666666666667,18
Boavista,69.42105263157895,65.88105263157895,19
Blackburn Rovers,69.42105263157895,65.87473684210526,19
Degerfors,65.5,65.86,2
Houston Dynamo,70.3,65.848,10
Fortaleza,70.5,65.84700000000001,20
Djurgården,69.23076923076923,65.83384615384615,13
Independiente,70.0,65.83333333333333,18
Al Taawon,70.0,65.824,10
Cagliari,70.15789473684211,65.8221052631579,19
Standard Liège,69.36363636363636,65.81818181818181,22
Arsenal de Sarandi,67.66666666666667,65.80666666666667,3
Alianza Lima,69.54545454545455,65.77090909090909,11
OH Leuven,69.16666666666667,65.76333333333334,18
América de Cali,69.83333333333333,65.74333333333333,18
Kayserispor,69.0,65.71411764705881,17
Orlando Pirates,68.45833333333333,65.71333333333334,24
Lorient,70.75,65.71000000000001,20
Real Oviedo,68.68181818181819,65.69272727272727,22
Mechelen,69.3157894736842,65.69052631578948,19
Malmö FF,68.94117647058823,65.68352941176471,17
Minnesota United,69.5,65.67875000000001,16
Kasımpaşa,69.23809523809524,65.6752380952381,21
Ñublense,69.33333333333333,65.67333333333333,6
FCSB,68.05882352941177,65.65529411764706,17
Al Ain,70.13333333333334,65.64933333333333,15
Vitória SC,69.26086956521739,65.64782608695653,23
Queens Park Rangers,69.42857142857143,65.63714285714286,21
Petrolul 52,67.8,65.628,5
New York City,69.8,65.618,10
Al Khaleej,69.75,65.6175,8
Sydney,67.81818181818181,65.59272727272727,11
Lech Poznań,69.0952380952381,65.58380952380952,21
Verl,66.0,65.58,1
Sporting Charleroi,69.26315789473684,65.56526315789473,19
Mamelodi Sundowns,69.37037037037037,65.53703703703704,27
Nacional Asunción,69.0,65.532,5
Marítimo,69.52631578947368,65.52526315789474,19
Estudiantes,70.44444444444444,65.52111111111111,18
Libertad,70.75,65.51875,16
Rosario Central,69.75,65.51,12
Ulsan,69.7,65.503,20
Seoul,68.35714285714286,65.49857142857142,14
Dhamk,69.41666666666667,65.48666666666666,12
Zürich,69.42857142857143,65.48571428571428,14
Gil Vicente,69.9090909090909,65.48,22
Brøndby,68.47058823529412,65.47058823529412,17
Defensa y Justicia,69.73684210526316,65.46736842105263,19
Famalicão,69.04,65.4592,25
AIK,69.11111111111111,65.45111111111112,9
Basel,69.10526315789474,65.43578947368421,19
Ajaccio,69.95833333333333,65.40833333333333,24
Cerro Porteño,69.23529411764706,65.38117647058823,17
Luton Town,68.91666666666667,65.37666666666667,24
Atlético Nacional,70.3529411764706,65.37294117647059,17
Barcelona Guayaquil,69.54545454545455,65.37272727272727,11
Charlotte,68.07142857142857,65.35428571428571,14
Deportes Tolima,69.76923076923077,65.35230769230769,13
Kortrijk,68.35,65.32300000000001,20
Macarthur,66.875,65.315,8
AS Eupen,68.07692307692308,65.3076923076923,13
Newcastle Jets,67.0,65.29599999999999,5
Beijing Guoan,67.54545454545455,65.29272727272728,11
Benevento,69.25,65.284,20
Sochaux,68.23529411764706,65.28117647058824,17
DC United,68.8,65.27799999999999,20
Al Batin,70.57142857142857,65.27428571428571,7
Bristol City,68.95454545454545,65.27272727272727,22
Vitesse,68.66666666666667,65.26666666666667,18
Westerlo,67.95,65.259,20
Zwickau,66.33333333333333,65.25333333333334,3
Seongnam,69.0,65.25,2
Zulte-Waregem,68.4375,65.2425,16
Santa Clara,68.94117647058823,65.24235294117646,17
SC Heerenveen,69.25,65.2375,16
Real Salt Lake,68.9,65.22800000000001,10
